2017-09-07 20:48:19 INFO  DistriOptimizer$:717 - caching training rdd ...
2017-09-07 20:48:52 INFO  DistriOptimizer$:295 - [Epoch 3 12000/32561][Iteration 67][Wall Clock 20.578627963s] Train 1200 in 0.107610315seconds. Throughput is 11151.348 records/second. Loss is 0.43516573. 
2017-09-07 20:48:52 INFO  DistriOptimizer$:295 - [Epoch 3 13200/32561][Iteration 68][Wall Clock 20.686238278s] Train 1200 in 0.104668278seconds. Throughput is 11464.792 records/second. Loss is 0.4457934. 
2017-09-07 20:48:52 INFO  DistriOptimizer$:295 - [Epoch 3 14400/32561][Iteration 69][Wall Clock 20.790906556s] Train 1200 in 0.089454097seconds. Throughput is 13414.701 records/second. Loss is 0.41941014. 
2017-09-07 20:48:53 INFO  DistriOptimizer$:295 - [Epoch 3 15600/32561][Iteration 70][Wall Clock 20.880360653s] Train 1200 in 0.087594733seconds. Throughput is 13699.454 records/second. Loss is 0.4198666. 
2017-09-07 20:48:53 INFO  DistriOptimizer$:295 - [Epoch 3 16800/32561][Iteration 71][Wall Clock 20.967955386s] Train 1200 in 0.069891066seconds. Throughput is 17169.576 records/second. Loss is 0.42689654. 
2017-09-07 20:48:53 INFO  DistriOptimizer$:295 - [Epoch 3 18000/32561][Iteration 72][Wall Clock 21.037846452s] Train 1200 in 0.086170097seconds. Throughput is 13925.944 records/second. Loss is 0.4242244. 
2017-09-07 20:48:53 INFO  DistriOptimizer$:295 - [Epoch 3 19200/32561][Iteration 73][Wall Clock 21.124016549s] Train 1200 in 0.088189475seconds. Throughput is 13607.065 records/second. Loss is 0.40215525. 
2017-09-07 20:48:53 INFO  DistriOptimizer$:295 - [Epoch 3 20400/32561][Iteration 74][Wall Clock 21.212206024s] Train 1200 in 0.093007332seconds. Throughput is 12902.208 records/second. Loss is 0.43853188. 
2017-09-07 20:48:53 INFO  DistriOptimizer$:295 - [Epoch 3 21600/32561][Iteration 75][Wall Clock 21.305213356s] Train 1200 in 0.093834445seconds. Throughput is 12788.48 records/second. Loss is 0.39748654. 
2017-09-07 20:48:53 INFO  DistriOptimizer$:295 - [Epoch 3 22800/32561][Iteration 76][Wall Clock 21.399047801s] Train 1200 in 0.0809551seconds. Throughput is 14823.031 records/second. Loss is 0.4198172. 
2017-09-07 20:48:53 INFO  DistriOptimizer$:295 - [Epoch 3 24000/32561][Iteration 77][Wall Clock 21.480002901s] Train 1200 in 0.123659199seconds. Throughput is 9704.09 records/second. Loss is 0.39218366. 
2017-09-07 20:48:53 INFO  DistriOptimizer$:295 - [Epoch 3 25200/32561][Iteration 78][Wall Clock 21.6036621s] Train 1200 in 0.092362074seconds. Throughput is 12992.346 records/second. Loss is 0.4247907. 
2017-09-07 20:48:53 INFO  DistriOptimizer$:295 - [Epoch 3 26400/32561][Iteration 79][Wall Clock 21.696024174s] Train 1200 in 0.096430514seconds. Throughput is 12444.194 records/second. Loss is 0.40046525. 
2017-09-07 20:48:53 INFO  DistriOptimizer$:295 - [Epoch 3 27600/32561][Iteration 80][Wall Clock 21.792454688s] Train 1200 in 0.089835262seconds. Throughput is 13357.783 records/second. Loss is 0.43116558. 
2017-09-07 20:48:54 INFO  DistriOptimizer$:295 - [Epoch 3 28800/32561][Iteration 81][Wall Clock 21.88228995s] Train 1200 in 0.103824036seconds. Throughput is 11558.018 records/second. Loss is 0.40786973. 
2017-09-07 20:48:54 INFO  DistriOptimizer$:295 - [Epoch 3 30000/32561][Iteration 82][Wall Clock 21.986113986s] Train 1200 in 0.088190694seconds. Throughput is 13606.877 records/second. Loss is 0.42264417. 
2017-09-07 20:48:54 INFO  DistriOptimizer$:295 - [Epoch 3 31200/32561][Iteration 83][Wall Clock 22.07430468s] Train 1200 in 0.097121791seconds. Throughput is 12355.621 records/second. Loss is 0.39141777. 
2017-09-07 20:48:54 INFO  DistriOptimizer$:295 - [Epoch 3 32400/32561][Iteration 84][Wall Clock 22.171426471s] Train 1200 in 0.089770845seconds. Throughput is 13367.369 records/second. Loss is 0.40784216. 
2017-09-07 20:48:54 INFO  DistriOptimizer$:338 - [Epoch 3 32400/32561][Iteration 84][Wall Clock 22.171426471s] Epoch finished. Wall clock time is 22737.969721ms
2017-09-07 20:48:54 INFO  DistriOptimizer$:587 - [Wall Clock 22.737969721s] Validate model...
2017-09-07 20:48:54 INFO  DistriOptimizer$:629 - Top1Accuracy is Accuracy(correct: 13191, count: 16281, accuracy: 0.8102082181684171)
2017-09-07 20:48:54 INFO  DistriOptimizer$:629 - Loss is (Loss: 135.16458, count: 336, Average Loss: 0.40227553)
2017-09-07 20:48:54 INFO  DistriOptimizer$:295 - [Epoch 4 0/32561][Iteration 85][Wall Clock 22.737969721s] Train 1200 in 0.107548425seconds. Throughput is 11157.765 records/second. Loss is 0.40540302. 
2017-09-07 20:48:54 INFO  DistriOptimizer$:295 - [Epoch 4 1200/32561][Iteration 86][Wall Clock 22.845518146s] Train 1200 in 0.097420173seconds. Throughput is 12317.777 records/second. Loss is 0.40131366. 
2017-09-07 20:48:55 INFO  DistriOptimizer$:295 - [Epoch 4 2400/32561][Iteration 87][Wall Clock 22.942938319s] Train 1200 in 0.081047241seconds. Throughput is 14806.179 records/second. Loss is 0.40931532. 
2017-09-07 20:48:55 INFO  DistriOptimizer$:295 - [Epoch 4 3600/32561][Iteration 88][Wall Clock 23.02398556s] Train 1200 in 0.093839919seconds. Throughput is 12787.734 records/second. Loss is 0.4038143. 
2017-09-07 20:48:55 INFO  DistriOptimizer$:295 - [Epoch 4 4800/32561][Iteration 89][Wall Clock 23.117825479s] Train 1200 in 0.101879511seconds. Throughput is 11778.62 records/second. Loss is 0.405807. 
2017-09-07 20:48:55 INFO  DistriOptimizer$:295 - [Epoch 4 6000/32561][Iteration 90][Wall Clock 23.21970499s] Train 1200 in 0.093353673seconds. Throughput is 12854.342 records/second. Loss is 0.39994276. 
2017-09-07 20:48:55 INFO  DistriOptimizer$:295 - [Epoch 4 7200/32561][Iteration 91][Wall Clock 23.313058663s] Train 1200 in 0.083843214seconds. Throughput is 14312.428 records/second. Loss is 0.38672355. 
2017-09-07 20:48:55 INFO  DistriOptimizer$:295 - [Epoch 4 8400/32561][Iteration 92][Wall Clock 23.396901877s] Train 1200 in 0.09070945seconds. Throughput is 13229.052 records/second. Loss is 0.39262962. 
2017-09-07 20:48:55 INFO  DistriOptimizer$:295 - [Epoch 4 9600/32561][Iteration 93][Wall Clock 23.487611327s] Train 1200 in 0.082447225seconds. Throughput is 14554.766 records/second. Loss is 0.39389166. 
2017-09-07 20:48:55 INFO  DistriOptimizer$:295 - [Epoch 4 10800/32561][Iteration 94][Wall Clock 23.570058552s] Train 1200 in 0.11261535seconds. Throughput is 10655.741 records/second. Loss is 0.37649772. 
2017-09-07 20:48:55 INFO  DistriOptimizer$:295 - [Epoch 4 12000/32561][Iteration 95][Wall Clock 23.682673902s] Train 1200 in 0.097696281seconds. Throughput is 12282.965 records/second. Loss is 0.39350578. 
2017-09-07 20:48:55 INFO  DistriOptimizer$:295 - [Epoch 4 13200/32561][Iteration 96][Wall Clock 23.780370183s] Train 1200 in 0.072646092seconds. Throughput is 16518.44 records/second. Loss is 0.39140704. 
2017-09-07 20:48:55 INFO  DistriOptimizer$:295 - [Epoch 4 14400/32561][Iteration 97][Wall Clock 23.853016275s] Train 1200 in 0.087407358seconds. Throughput is 13728.821 records/second. Loss is 0.4104476. 
